根据您的要求，我将分别列出《事林广记》（宋末元初·陈元靓）和《居家必用事类全集》（元·佚名）中与香方、合香、印香相关的条目名称。由于古籍版本差异，条目名称可能略有出入，以下为常见存世本中的主要香方条目，力求详尽。

### 《事林广记》（主要见于戊集、己集）

#### 香方（合香方）条目：
- 三匀煎
- 苏合香丸
- 梅花香（又名：百花香）
- 雪中春信（或作“雪中春信香”）
- 杏花香
- 韩魏公浓梅香（或作“韩魏公香”）
- 意可香（或作“意可”）
- 深静香（或作“深静”）
- 笑梅香
- 霭兰香（或作“霭兰”）
- 胜笃耨
- 蝉香（或作“蝉香丸”）
- 绿萼梅
- 清远香
- 降真香（附合香法）
- 安息香（合香法）
- 龙涎香（有多种：龙涎香饼、龙涎香丸）
- 四和香（或作“四和”）
- 百和香
- 瑞龙香
- 辟寒香
- 辟邪香
- 杨吉老龙涎香
- 内府龙涎香
- 御爱香（宫廷香方）

#### 印香（香篆）条目：
- 木樨印香
- 柏子印香
- 蓬莱香（印香方）
- 沉香印香
- 檀香印香
- 四和印香
- 百花印香（以百花香作印香）
- 黄熟香印香
- 速香印香
- 至香印香
- 香篆图（附图样，如“如意香篆”、“心字香篆”等，但条目名称多直接称“印香方”）

#### 其他相关条目（香饼、烧香法等）：
- 烧香法（总论）
- 制焚沉香法
- 香饼（造香饼子法，如“大香饼”、“小香饼”）
- 香炭
- 香炉灰
- 香匣糊（制作香印时用糊）
- 搥香法（处理香材）

---

### 《居家必用事类全集》（主要见于己集“香谱”）

#### 合香方条目：
- 百花香（合香方）
- 梅花香（又分“昌龄梅花香”、“寿阳香”）
- 胜笃耨（合香方）
- 四和香（合香方）
- 降真香（合香方，如“熏降真香法”）
- 龙涎香（多种：水晶龙涎香、沉香龙涎香）
- 清远香
- 压手香（或作“压手香方”）
- 御爱香
- 江梅香（或作“江梅方”）
- 寿阳香（或作“寿阳公主香”）
- 蓬莱香（合香方）
- 雪香（或作“雪香方”）
- 杏香
- 柏子香（合香方）
- 檀香（合香法，如“檀香清远方”）
- 沉香（合香法，如“沉香燕雪香”）
- 蜜和香（或作“蜜合香”）
- 芙蕖香（或作“芙蓉香”）
- 茉莉香（或作“茉莉花熏香法”）
- 木犀香（或作“木樨香方”）
- 紫茸香
- 醒心香
- 韵梅香
- 藏春香

#### 印香方条目：
- 印香方（总名，下设多种具体方，如“沉香印香方”、“檀香印香方”、“四和印香方”）
- 百花印香
- 木樨印香
- 柏子印香
- 蓬莱印香
- 黄熟香印香
- 速香印香
- 香印法（制作方法）

#### 薰香方（熏衣、熏房间）条目：
- 熏衣香（有“和香方”、“梅熏衣香”等）
- 百和薰衣香
- 长安薰衣香
- 南阳公主熏衣香
- 熏非石香（熏辟秽）
- 熏花法（如“熏梅花法”）

#### 香丸、香饼、香法杂项：
- 香丸子（造丸法）
- 香饼子（造饼法，附“香饼子方”数种）
- 渍香法（渍沉香等）
- 烧香法（总论）
- 香灰法
- 香炭法
- 香谱（卷前总引）

---

以上条目在现存《事林广记》元至顺刻本、明刻本及《永乐大典》残本、《居家必用事类全集》明刻本中可考。两书部分香方名称相同，但配方与制法常有差异。如需各别香方的具体内容，可进一步提供。
