根据我的知识库，以下是《遵生八笺》（明·高濂）和《中国香文献辑要》（现代整理本）中我能回忆的与香方/合香相关的条目名称。由于记忆有限，可能不完整，但尽量列出多个。

### 《遵生八笺》（明·高濂）中的香方/合香条目
主要见于“燕闲清赏笺”卷十三、十四及“起居安乐笺”等章节，名称如下：

- 四弃香方
- 二苏旧局（本为清代香方，但高濂有类似记载？实际为《遵生八笺》中“苏合香”相关？此处谨慎，回忆为：**二苏旧局**疑误，确为《遵生八笺》中“苏合香”方？）
- 韩魏公浓梅香方
- 寿阳公主梅花香方
- 杨吉老龙涎香方
- 唐开元宫中香方
- 宣和御制香方
- 安息香方
- 藏春香方
- 蔷薇香方
- 兰花香方
- 木犀香方（即桂花香）
- 百花香方
- 玉华香方
- 檀香方
- 龙涎香方
- 麝香方
- 沉香方
- 煮香法（非方名，但涉及配方）
- 合香法（总论）
- 印香法（包括印香方）
- 香饼子方（炭饼配方）
- 香球方（熏球用香）
- 香囊方
- 降真香方
- 乳香方
- 丁香方
- 苏合香方（或苏合油香）
- 鸡舌香方
- 藿香方
- 零陵香方
- 甘松香方
- 白芷香方
- 茅香方
- 茴香方
- 柏子香方
- 梅花香方（另有多款）
- 熏衣香方（多种）
- 湿香方
- 干香方
- 傅身香粉方（含香粉）
- 面脂香方（香药调脂）
- 莲花香茶方（香茶）
- 香墨方（墨中加入香药）
- 香炉灰方（非香，但相关）
- 香炭方（炭饼制作）
- 透脑香方（？待查）
- 清远香方（？可能出自其他朝代）
- 翠屏香方（？不确定）

### 《中国香文献辑要》（现代整理本）中的香方/合香条目
该书为辑录历代香文献的汇编，包含众多香谱、笔记中的香方。我能回忆的条目名称（按来源或常见名）：

- 四和香方（出自《陈氏香谱》等）
- 逗情香方
- 蝴蝶香方
- 琼瑶香方
- 闻思香方（黄庭坚制）
- 意可香方（黄庭坚制）
- 更深香方（黄庭坚制）
- 小宗香方
- 双井香方
- 马都监香方
- 安晚香方
- 荀令十里香方（典故名方）
- 韩寿偷香方（典故）
- 贾女香方（典故）
- 黄太史香方（黄庭坚）
- 清真香方（周嘉胄《香乘》）
- 妙华香方
- 百刻香方（印香计时）
- 宝篆香方
- 醒心香方
- 清远香方
- 玉蕊香方
- 甜香方
- 蓝田香方
- 翠羽香方
- 龙涎香方（多种版本）
- 安息香方（多种）
- 苏合香方（多种）
- 乳香方（多种）
- 丁香方（多种）
- 麝香方（多种）
- 沉香方（多种）
- 降真香方（多种）
- 甲香方（炮制）
- 金颜香方
- 笃耨香方
- 婆律香方
- 摩罗香方
- 梅花香方（各种配方）
- 兰花香方
- 桂花香方
- 茉莉香方
- 素馨香方
- 玫瑰香方
- 栀子花香方
- 柏子香方
- 松香方（松脂）
- 檀香方（多种）
- 藿香方
- 零陵香方
- 甘松香方
- 白芷香方
- 茅香方
- 川芎香方
- 杜若香方
- 蘼芜香方
- 桂香方
- 木樨香方
- 蔷薇香方
- 熏衣香方（历代汇集）
- 傅身香粉方（多种）
- 香茶方（如龙脑香茶）
- 香墨方
- 香饼子方（炭饼）
- 印香方（百刻印香、篆香）
- 合香法（总论）
- 香炉灰方
- 香炭方
- 收香法
- 藏香法
- 制香法（如制龙涎、制甲香等）

以上条目名称可能跨越多本古籍（如《陈氏香谱》《洪氏香谱》《香乘》《非烟香法》《物理小识》等），现代辑要本中均有收录。部分名称可能与《遵生八笺》重复，但属于不同版本。
